NAME,TOTALEXP,TOTAL EXP $
ADAMS CENTRAL COMMUNITY SCHOOL DISTRICT,12352,"$12,352,000.00"
ALEXANDRIA COMMUNITY SCHOOL CORPORATION,16612,"$16,612,000.00"
ANDERSON COMMUNITY SCHOOL CORPORATION,80884,"$80,884,000.00"
ARGOS COMMUNITY SCHOOLS,6573,"$6,573,000.00"
ATTICA CONSOLIDATED SCHOOL CORPORATION,8910,"$8,910,000.00"
AVON COMMUNITY SCHOOL CORPORATION,89922,"$89,922,000.00"
BARR-REEVE COMMUNITY SCHOOL INC,8689,"$8,689,000.00"
BARTHOLOMEW CONSOLIDATED SCHOOL CORPORATION,142281,"$142,281,000.00"
BATESVILLE COMMUNITY SCHOOL CORPORATION,24082,"$24,082,000.00"
BAUGO COMMUNITY SCHOOLS,19659,"$19,659,000.00"
BEECH GROVE CITY SCHOOLS,34227,"$34,227,000.00"
BENTON COMMUNITY SCHOOL CORPORATION,21137,"$21,137,000.00"
BLACKFORD COUNTY SCHOOLS,18177,"$18,177,000.00"
BLOOMFIELD SCHOOL DISTRICT,8465,"$8,465,000.00"
BLUE RIVER VALLEY SCHOOLS,6693,"$6,693,000.00"
BLUFFTON-HARRISON METROPOLITAN SCHOOL DISTRICT,15616,"$15,616,000.00"
BOONE TOWNSHIP SCHOOLS METROPOLITAN SCHOOL DISTRICT,11014,"$11,014,000.00"
BREMEN PUBLIC SCHOOLS,14232,"$14,232,000.00"
BROWN COUNTY CONSOLIDATED SCHOOL CORPORATION,27105,"$27,105,000.00"
BROWNSBURG COMMUNITY SCHOOL CORPORATION,82706,"$82,706,000.00"
BROWNSTOWN CENTRAL COMMUNITY SCHOOL CORPORATION,19335,"$19,335,000.00"
C A BEARD MEMORIAL SCHOOL CORPORATION,11425,"$11,425,000.00"
CANNELTON CITY SCHOOLS,2499,"$2,499,000.00"
CARMEL CLAY SCHOOLS,170057,"$170,057,000.00"
CARROLL CONSOLIDATED SCHOOL CORPORATION,11420,"$11,420,000.00"
CASTON SCHOOL CORPORATION,7803,"$7,803,000.00"
CENTER GROVE COMMUNITY SCHOOL CORPORATION,94709,"$94,709,000.00"
CENTERVILLE-ABINGTON COMMUNITY SCHOOLS,17223,"$17,223,000.00"
CENTRAL NOBLE COMMUNITY SCHOOL CORPORATION,13565,"$13,565,000.00"
CLARK-PLEASANT COMMUNITY SCHOOL CORPORATION,68293,"$68,293,000.00"
CLARKSVILLE COMMUNITY SCHOOL CORPORATION,17585,"$17,585,000.00"
CLAY COMMUNITY SCHOOL DISTRICT,45992,"$45,992,000.00"
CLINTON CENTRAL SCHOOL CORPORATION,11694,"$11,694,000.00"
CLINTON PRAIRIE SCHOOL CORPORATION,10474,"$10,474,000.00"
