Corp Id,CORPORATION NAME,Cohort N,Grad N,State Grad Rate,Non-Waiver Grad N,State Non-Waiver Grad Rate
15,Adams Central Community Schools,95,90,94.70%,87,91.60%
5265,Alexandria Community School Corporation,112,98,87.50%,97,86.60%
5275,Anderson Community School Corporation,394,353,89.60%,277,70.30%
5470,Argos Community Schools,46,34,73.90%,34,73.90%
2435,Attica Consolidated School Corporation,68,67,98.50%,64,94.10%
3315,Avon Community School Corporation,699,680,97.30%,644,92.10%
1315,Barr-Reeve Community School Corporation,54,54,100.00%,54,100.00%
365,Bartholomew Consolidated School Corporation,877,802,91.40%,731,83.40%
6895,Batesville Community School Corporation,173,169,97.70%,165,95.40%
2260,Baugo Community Schools,141,135,95.70%,124,87.90%
5380,Beech Grove City Schools,194,174,89.70%,166,85.60%
395,Benton Community School Corporation,133,123,92.50%,116,87.20%
515,Blackford County Schools,125,118,94.40%,109,87.20%
2920,Bloomfield School District,58,55,94.80%,55,94.80%
3405,Blue River Valley Schools,47,46,97.90%,41,87.20%
8445,Bluffton-Harrison Metropolitan School District,123,120,97.60%,111,90.20%
6460,Boone Township Metropolitan School District,80,77,96.30%,76,95.00%
5480,Bremen Public Schools,130,119,91.50%,118,90.80%
670,Brown County School Corporation,142,128,90.10%,125,88.00%
3305,Brownsburg Community School Corporation,581,565,97.20%,551,94.80%
3695,Brownstown Central Community School Corporation,136,131,96.30%,128,94.10%
3455,C. A. Beard Memorial School Corporation,89,84,94.40%,77,86.50%
6340,Cannelton City Schools,17,9,52.90%,7,41.20%
3060,Carmel Clay Schools,1161,1125,96.90%,1111,95.70%
750,Carroll Consolidated School Corporation,86,79,91.90%,77,89.50%
2650,Caston School Corporation,83,76,91.60%,71,85.50%
4205,Center Grove Community School Corporation,597,552,92.50%,534,89.40%
8360,Centerville-Abington Community Schools,106,95,89.60%,89,84.00%
6055,Central Noble Community School Corporation,109,96,88.10%,78,71.60%
4145,Clark-Pleasant Community School Corporation,376,337,89.60%,317,84.30%
1000,Clarksville Community School Corporation,80,76,95.00%,71,88.80%
1125,Clay Community Schools,292,272,93.20%,264,90.40%
1150,Clinton Central School Corporation,90,86,95.60%,79,87.80%
1160,Clinton Prairie School Corporation,57,52,91.20%,52,91.20%
6750,Cloverdale Community Schools,80,73,91.30%,71,88.80%
2270,Concord Community Schools,373,331,88.70%,307,82.30%
2440,Covington Community School Corporation,71,67,94.40%,62,87.30%
1900,Cowan Community School Corporation,58,58,100.00%,54,93.10%
1300,Crawford County Community School Corporation,120,110,91.70%,106,88.30%
5855,Crawfordsville Community Schools,151,146,96.70%,125,82.80%
3710,Crothersville Community Schools,25,21,84.00%,21,84.00%
4660,Crown Point Community School Corporation,630,610,96.80%,580,92.10%
5455,Culver Community Schools Corporation,62,55,88.70%,54,87.10%
1940,Daleville Community Schools,47,45,95.70%,45,95.70%
3325,Danville Community School Corporation,201,191,95.00%,189,94.00%
1655,Decatur County Community Schools,152,140,92.10%,122,80.30%
5300,Decatur Township Metropolitan School District,462,404,87.40%,366,79.20%
1835,DeKalb County Central United School District,323,295,91.30%,277,85.80%
1805,DeKalb County Eastern Community School District,127,116,91.30%,103,81.10%
1875,Delaware Community School Corporation,187,181,96.80%,172,92.00%
755,Delphi Community School Corporation,110,105,95.50%,91,82.70%
6470,Duneland School Corporation,461,435,94.40%,411,89.20%
255,East Allen County Schools,746,663,88.90%,603,80.80%
2725,East Gibson School Corporation,70,54,77.10%,49,70.00%
6060,East Noble School Corporation,269,244,90.70%,214,79.60%
6510,East Porter County School Corporation,169,163,96.40%,159,94.10%
8215,East Washington School Corporation,108,102,94.40%,93,86.10%
2815,Eastbrook Community School Corporation,135,124,91.90%,114,84.40%
2940,Eastern Greene County School District,91,87,95.60%,83,91.20%
3145,Eastern Hancock County Community School Corporation,92,88,95.70%,87,94.60%
3480,Eastern Howard School Corporation,114,104,91.20%,102,89.50%
6620,Eastern Pulaski Community School Corporation,92,89,96.70%,83,90.20%
4215,Edinburgh Community School Corporation,64,58,90.60%,57,89.10%
2305,Elkhart Community Schools,762,671,88.10%,609,79.90%
5280,Elwood Community School Corporation,90,77,85.60%,67,74.40%
5910,Eminence Community School Corporation,38,36,94.70%,34,89.50%
7995,Evansville Vanderburgh School Corporation,1581,1223,77.40%,1088,68.80%
2155,Fairfield Community Schools,127,117,92.10%,111,87.40%
2395,Fayette County School Corporation,247,229,92.70%,222,89.90%
370,Flat Rock-Hawcreek School Corporation,59,55,93.20%,50,84.70%
235,Fort Wayne Community Schools,1929,1674,86.80%,1468,76.10%
1170,Frankfort Community Schools,193,173,89.60%,148,76.70%
4225,Franklin Community School Corporation,394,367,93.10%,340,86.30%
2475,Franklin County Community School Corporation,200,187,93.50%,173,86.50%
5310,Franklin Township Community School Corporation,543,527,97.10%,503,92.60%
5245,Frankton-Lapel Community Schools,224,213,95.10%,203,90.60%
7605,Fremont Community Schools,94,83,88.30%,79,84.00%
8525,Frontier School Corporation,60,52,86.70%,49,81.70%
1820,Garrett-Keyser-Butler Community School Corporation,147,132,89.80%,127,86.40%
4690,Gary Community School Corporation,364,299,82.10%,268,73.60%
2315,Goshen Community Schools,459,393,85.60%,368,80.20%
1010,Greater Clark County Schools,720,666,92.50%,603,83.80%
2120,Greater Jasper Consolidated Schools,240,232,96.70%,228,95.00%
6755,Greencastle Community School Corporation,143,127,88.80%,117,81.80%
3125,Greenfield-Central Community Schools,356,314,88.20%,301,84.60%
1730,Greensburg Community Schools,146,137,93.80%,120,82.20%
4245,Greenwood Community School Corporation,242,223,92.10%,220,90.90%
4700,Griffith Public Schools,205,186,90.70%,169,82.40%
7610,Hamilton Community Schools,32,28,87.50%,27,84.40%
3025,Hamilton Heights School Corporation,166,157,94.60%,153,92.20%
3005,Hamilton Southeastern Schools,1333,1269,95.20%,1241,93.10%
4580,Hanover Community School Corporation,162,156,96.30%,152,93.80%
3625,Huntington County Community School Corporation,399,360,90.20%,348,87.20%
5385,Indianapolis Public Schools,1102,794,72.10%,719,65.20%
6900,Jac-Cen-Del Community School Corporation,67,52,77.60%,52,77.60%
3945,Jay School Corporation,240,230,95.80%,207,86.30%
4015,Jennings County School Corporation,324,289,89.20%,243,75.00%
7150,John Glenn School Corporation,156,147,94.20%,145,92.90%
3785,Kankakee Valley School Corporation,254,228,89.80%,216,85.00%
7525,Knox Community School Corporation,116,106,91.40%,104,89.70%
3500,Kokomo School Corporation,451,365,80.90%,319,70.70%
7855,Lafayette School Corporation,389,355,91.30%,309,79.40%
4615,Lake Central School Corporation,765,729,95.30%,708,92.50%
4650,Lake Ridge New Tech Schools,174,152,87.40%,115,66.10%
4680,Lake Station Community Schools,102,89,87.30%,84,82.40%
4535,Lakeland School Corporation,159,146,91.80%,134,84.30%
3160,Lanesville Community School Corporation,48,48,100.00%,48,100.00%
4945,LaPorte Community School Corporation,479,418,87.30%,359,74.90%
5330,Lawrence Township Metropolitan School District,1098,990,90.20%,868,79.10%
1620,Lawrenceburg Community School Corporation,138,136,98.60%,130,94.20%
665,Lebanon Community School Corporation,220,209,95.00%,198,90.00%
1895,Liberty-Perry Community School Corporation,84,80,95.20%,79,94.00%
2950,Linton-Stockton School Corporation,77,74,96.10%,74,96.10%
875,Logansport Community School Corporation,273,256,93.80%,235,86.10%
5525,Loogootee Community School Corporation,81,77,95.10%,69,85.20%
5615,Maconaquah School Corporation,135,120,88.90%,108,80.00%
3995,Madison Consolidated Schools,264,238,90.20%,217,82.20%
2825,Madison-Grant United School Corporation,94,91,96.80%,85,90.40%
8045,Manchester Community Schools,98,95,96.90%,89,90.80%
2865,Marion Community Schools,263,252,95.80%,213,81.00%
5925,Martinsville Schools Metropolitan School District,350,314,89.70%,297,84.90%
3640,Medora Community School Corporation,21,20,95.20%,16,76.20%
