State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
IN,18,2220,Cloverdale Community Schools,7377,1164,211
IN,18,2400,Concord Community Schools,26704,5126,662
IN,18,2430,Covington Community School Corporation,5298,850,112
IN,18,7020,Cowan Community School Corporation,3650,621,66
IN,18,2440,Crawford County Community School Corporation,10948,1812,406
IN,18,2460,Crawfordsville Community Schools,15730,2398,511
IN,18,12060,Crothersville Community Schools,3537,580,68
IN,18,2490,Crown Point Community School Corporation,40970,7257,517
IN,18,2520,Culver Community Schools Corporation,6847,1126,174
IN,18,9840,Daleville Community Schools,3947,633,70
IN,18,2550,Danville Community School Corporation,15271,2977,138
IN,18,1590,DeKalb County Central United School District,24492,4250,451
IN,18,3060,DeKalb County Eastern Community School District,7953,1539,182
IN,18,2610,Decatur County Community Schools,12449,2337,261
IN,18,2640,Decatur Township Metropolitan School District,34077,7232,1288
IN,18,2660,Delaware Community School Corporation,14691,2479,347
IN,18,2700,Delphi Community School Corporation,9591,1630,212
IN,18,2800,Duneland School Corporation,35486,6327,604
IN,18,2850,East Allen County Schools,69684,14417,2341
IN,18,2940,East Gibson School Corporation,6850,1070,145
IN,18,2970,East Noble School Corporation,23122,3994,528
IN,18,9000,East Porter County School Corporation,13226,2302,146
IN,18,3000,East Washington School Corporation,9565,1726,335
IN,18,3030,Eastbrook Community School Corporation,10179,1575,204
IN,18,3090,Eastern Greene County School District,7835,1443,197
IN,18,3120,Eastern Hancock County Community School Corporation,6181,1117,76
IN,18,3150,Eastern Howard School Corporation,6457,1198,120
IN,18,7110,Eastern Pulaski Community School Corporation,7011,1131,205
IN,18,3240,Edinburgh Community School Corporation,5427,888,216
IN,18,3270,Elkhart Community Schools,78428,14840,2553
IN,18,3300,Elwood Community School Corporation,9918,1647,408
IN,18,3330,Eminence Community School Corporation,2963,512,53
IN,18,3450,Evansville-Vanderburgh School Corporation,181616,28450,5355
IN,18,3480,Fairfield Community Schools,12324,3032,170
IN,18,3510,Fayette County School Corporation,23209,3867,700
IN,18,3570,Flat Rock-Hawcreek School Corporation,5853,1057,116
IN,18,3630,Fort Wayne Community Schools,225356,39180,8537
IN,18,3660,Frankfort Community Schools,17725,3411,670
IN,18,3690,Franklin Community School Corporation,32871,5748,729
IN,18,3700,Franklin County Community School Corporation,17058,2908,336
IN,18,3750,Franklin Township Community School Corporation,55678,11486,1017
IN,18,12880,Frankton-Lapel Community Schools,12064,2197,300
IN,18,3780,Fremont Community Schools,7104,1010,167
IN,18,3810,Frontier School Corporation,4020,742,68
IN,18,3840,Garrett-Keyser-Butler Community Schools,9515,1788,266
IN,18,3870,Gary Community School Corporation,73713,13953,5799
IN,18,3930,Goshen Community Schools,37867,7056,869
IN,18,3940,Greater Clark County Schools,78658,12607,1809
IN,18,3960,Greater Jasper Consolidated Schools,19848,3480,297
IN,18,3990,Greencastle Community School Corporation,14066,1962,336
IN,18,4050,Greenfield-Central Community Schools,29420,4869,367
IN,18,4080,Greensburg Community Schools,14621,2514,418
IN,18,4110,Greenwood Community School Corporation,27002,4476,548
IN,18,4170,Griffith Public Schools,16441,2736,423
IN,18,4230,Hamilton Community Schools,4377,659,70
IN,18,4260,Hamilton Heights School Corporation,15156,2728,148
IN,18,10650,Hamilton Southeastern Schools,106248,23065,730
IN,18,4320,Hammond School City,79478,14676,3982
IN,18,4350,Hanover Community School Corporation,12178,2144,133
IN,18,4560,Highland School Town,23240,3415,329
IN,18,4590,Hobart School City,23308,3761,540
IN,18,4710,Huntington County Community School Corporation,36337,5799,765
IN,18,4770,Indianapolis Public Schools,311604,50577,17217
IN,18,4800,Jac-Cen-Del Community School Corporation,5019,864,151
IN,18,4980,Jay School Corporation,20945,3904,804
IN,18,5190,Jennings County Schools,27626,4705,767
IN,18,9120,John Glenn School Corporation,9972,1877,201
IN,18,5280,Kankakee Valley School Corporation,20143,3727,409
IN,18,5340,Knox Community School Corporation,10867,1875,441
IN,18,5370,Kokomo-Center Township Consolidated School Corporation,45047,6899,1805
IN,18,5580,La Porte Community School Corporation,38154,6368,1088
IN,18,5400,Lafayette School Corporation,62194,9824,2189
IN,18,5450,Lake Central School Corporation,65312,10857,664
IN,18,5460,Lake Ridge Schools,11925,2022,743
IN,18,2910,Lake Station Community Schools,8402,1427,330
IN,18,5520,Lakeland School Corporation,15515,3106,451
IN,18,3720,Lanesville Community School Corporation,4158,717,50
IN,18,5670,Lawrence Township Metropolitan School District,100744,19109,3056
IN,18,5700,Lawrenceburg Community School Corporation,10982,1763,250
IN,18,5790,Lebanon Community School Corporation,25177,4128,382
IN,18,5880,Liberty-Perry Community School Corporation,6061,1004,128
IN,18,5910,Linton-Stockton School Corporation,8192,1313,237
IN,18,6030,Logansport Community School Corporation,23392,3933,802
IN,18,6060,Loogootee Community School Corporation,5747,946,128
IN,18,6090,Maconaquah School Corporation,14914,2204,429
IN,18,6120,Madison Consolidated Schools,22766,3464,590
IN,18,6240,Madison-Grant United School Corporation,8304,1424,226
IN,18,6270,Manchester Community Schools,9963,1376,211
IN,18,6390,Marion Community Schools,34973,4892,1691
IN,18,6510,Martinsville Schools Metropolitan School District,30887,5178,718
IN,18,1230,Medora Community School Corporation,1564,300,66
IN,18,9690,Merrillville Community School,46555,7496,1305
IN,18,6570,Michigan City Area Schools,47831,7093,1926
IN,18,6600,Middlebury Community Schools,22740,5378,358
IN,18,6630,Milan Community Schools,6135,1162,124
IN,18,6660,Mill Creek Community School Corporation,10496,1951,179
IN,18,6840,Mishawaka School City,30820,5349,1190
IN,18,6870,Mississinewa Community School Corporation,10324,1824,449
IN,18,6900,Mitchell Community Schools,11889,1972,286
IN,18,7080,Monroe Central School Corporation,5390,912,133
IN,18,630,Monroe County Community School Corporation,128607,13501,1927
IN,18,4140,Monroe-Gregg School District,7981,1398,154
IN,18,7140,Mooresville Consolidated School Corporation,24401,4357,506
IN,18,7230,Mount Pleasant Township Community School Corporation,13805,2314,214
IN,18,7260,Mount Vernon Community School Corporation,20799,3830,199
IN,18,7290,Mount Vernon Metropolitan School District,15710,2615,339
IN,18,7320,Muncie Community Schools,67745,7671,2102
IN,18,7350,Munster School Town,23091,4100,223
IN,18,7380,Nettle Creek School Corporation,6832,1294,225
IN,18,7410,New Albany-Floyd County Consolidated Schools,77071,13072,1644
IN,18,7440,New Castle Community School Corporation,22869,3569,688
IN,18,7470,New Durham Township Metropolitan School District,8552,896,97
IN,18,7560,New Prairie United School Corporation,15255,2748,334
IN,18,7620,Nineveh-Hensley-Jackson United School Corporation,11169,1988,219
IN,18,7650,Noblesville Schools,59629,11406,549
IN,18,7680,North Adams Community Schools,15579,2689,338
IN,18,118,North Central Parke Community School Corporation,11034,1618,302
IN,18,7710,North Daviess Community Schools,9295,2246,316
IN,18,7770,North Gibson School Corporation,14383,2421,338
IN,18,690,North Harrison Community School Corporation,13931,2422,273
IN,18,7800,North Judson-San Pierre School Corporation,7315,1269,261
IN,18,7830,North Knox School Corporation,8629,1400,269
IN,18,7860,North Lawrence Community Schools,33777,5510,893
IN,18,7890,North Miami Community Schools,5834,1073,136
IN,18,7900,North Montgomery Community School Corporation,12124,2186,221
IN,18,7920,North Newton School Corporation,9158,1481,175
IN,18,7950,North Posey County Schools Metropolitan School District,9885,1586,114
IN,18,7980,North Putnam Community Schools,10153,1744,216
IN,18,8010,North Spencer County School Corporation,11720,1926,161
IN,18,8070,North Vermillion Community School Corporation,4288,706,119
IN,18,8100,North West Hendricks Schools,10830,2222,75
IN,18,8130,North White School Corporation,5965,960,236
IN,18,8120,Northeast Dubois County School Corporation,5501,987,67
IN,18,8160,Northeast School Corporation,8386,1343,228
IN,18,8190,Northeastern Wayne Schools,5604,1067,234
IN,18,8220,Northern Wells Community Schools,15366,2807,238
IN,18,8250,Northwest Allen County Schools,36808,7884,350
IN,18,8310,Northwestern Consolidated School Corporation,7678,1428,188
IN,18,2040,Northwestern School Corporation,8656,1555,201
IN,18,8340,Oak Hill United School Corporation,7442,1304,194
IN,18,8460,Oregon-Davis School Corporation,4321,704,129
IN,18,8490,Orleans Community Schools,4669,838,170
IN,18,8640,Paoli Community School Corporation,9119,1538,342
IN,18,8760,Penn-Harris-Madison School Corporation,61949,11951,933
IN,18,1740,Perry Central Community School Corporation,7260,1106,104
IN,18,8820,Perry Township Metropolitan School District,98751,16576,2763
IN,18,8850,Peru Community Schools,13197,2194,504
IN,18,8900,Pike County School Corporation,12365,1982,249
IN,18,8910,Pike Township Metropolitan School District,77368,13754,2485
IN,18,8940,Pioneer Regional School Corporation,5075,872,123
IN,18,8970,Plainfield Community School Corporation,31349,5176,322
IN,18,9060,Plymouth Community School Corporation,19348,3470,579
IN,18,9150,Portage Township Schools,48259,8471,1372
IN,18,9180,Porter Township School Corporation,9559,1563,111
IN,18,9300,Prairie Heights Community School Corporation,9945,1589,231
IN,18,1770,Randolph Central School Corporation,9414,1550,322
IN,18,3180,Randolph Eastern School Corporation,4979,882,221
IN,18,10740,Randolph Southern School Corporation,3098,548,126
IN,18,9420,Rensselaer Central School Corporation,10708,1786,264
IN,18,9480,Richland-Bean Blossom Community School Corporation,18379,3265,355
IN,18,9510,Richmond Community School Corporation,40385,5934,1464
IN,18,9600,Rising Sun-Ohio County Community Schools,5828,831,99
IN,18,4620,River Forest Community School Corporation,7263,1270,378
IN,18,9630,Rochester Community School Corporation,11258,1876,318
IN,18,9720,Rossville Consolidated School District,4981,1040,102
IN,18,9750,Rush County Schools,14582,2504,402
IN,18,9810,Salem Community Schools,12629,1985,378
IN,18,9990,Scott County School District 1,6561,1181,280
IN,18,10020,Scott County School District 2,17309,2821,487
IN,18,10080,Seymour Community Schools,28046,5010,626
IN,18,10110,Shakamak Schools Metropolitan School District,5235,895,161
IN,18,3210,Shelby Eastern Schools,8446,1396,107
IN,18,10140,Shelbyville Central Schools,23570,3933,527
IN,18,8280,Shenandoah School Corporation,7324,1270,177
IN,18,6480,Sheridan Community Schools,7162,1304,97
IN,18,10170,Shoals Community School Corporation,4468,668,123
IN,18,10230,Smith-Green Community Schools,7489,1323,94
IN,18,10260,South Adams Schools,10874,2555,822
IN,18,10290,South Bend Community School Corporation,162204,26448,6544
IN,18,2190,South Central Community School Corporation,4043,734,58
IN,18,240,South Dearborn Community School Corporation,17280,2934,445
IN,18,10350,South Gibson School Corporation,12343,2278,167
IN,18,10360,South Harrison Community Schools,21427,3415,442
IN,18,10380,South Henry School Corporation,4374,721,77
IN,18,10410,South Knox School Corporation,6035,1102,157
IN,18,10440,South Madison Community School Corporation,25701,4593,420
IN,18,10450,South Montgomery Community School Corporation,10671,1946,256
IN,18,10470,South Newton School Corporation,5148,830,172
IN,18,10500,South Putnam Community Schools,9581,1206,154
IN,18,10530,South Ripley Community School Corporation,7587,1251,198
IN,18,10560,South Spencer County School Corporation,8674,1493,181
IN,18,10590,South Vermillion Community School Corporation,11217,1921,280
IN,18,10640,Southeast Dubois County School Corporation,7413,1306,95
IN,18,10620,Southeast Fountain School Corporation,6803,1128,171
IN,18,10680,Southeastern School Corporation,8237,1381,173
IN,18,10710,Southern Hancock County Community School Corporation,18585,3444,153
IN,18,10770,Southern Wells Community Schools,3988,777,64
IN,18,30,Southwest Allen County Metropolitan School District,41029,8566,472
IN,18,10870,Southwest Dubois County School Corporation,9796,1735,165
IN,18,10900,Southwest Parke Community School Corporation,5137,892,170
IN,18,10860,Southwest School Corporation,12360,1655,276
IN,18,10800,Southwestern Jefferson County Consolidated Schools,9323,1348,243
IN,18,10830,Southwestern Shelby County Consolidated Schools,4368,794,85
IN,18,10920,Speedway School Town,12423,1821,353
IN,18,10950,Spencer-Owen Community Schools,17364,2784,556
IN,18,10980,Springs Valley Community School Corporation,5638,907,200
IN,18,11100,Steuben County Metropolitan School District,18220,2737,399
IN,18,11190,Sunman-Dearborn Community School Corporation,24446,4512,320
IN,18,11220,Switzerland County School Corporation,10696,2027,491
IN,18,11250,Taylor Community School Corporation,9253,1445,260
IN,18,11260,Tell City-Troy Township School Corporation,10279,1607,244
IN,18,11340,Tippecanoe School Corporation,98799,15610,1616
IN,18,11370,Tippecanoe Valley School Corporation,11725,2133,250
IN,18,11400,Tipton Community School Corporation,10344,1623,169
IN,18,8040,Tipton County Northern Community School Corporation,4784,777,57
IN,18,11430,Tri-County School Corporation,4254,784,91
IN,18,11460,Tri-Creek School Corporation,20157,3633,330
IN,18,107,Tri-Township Consolidated School Corporation,2940,458,36
IN,18,11490,Triton School Corporation,5950,1203,118
IN,18,11580,Twin Lakes School Corporation,14445,2377,328
IN,18,11610,Union County-College Corner Joint School District,7562,1221,196
IN,18,11730,Union School Corporation,2845,478,94
IN,18,11700,Union Township School Corporation,9031,1646,97
IN,18,11910,Union-North United School Corporation,8004,1454,178
IN,18,11970,Valparaiso Community Schools,44355,6764,659
IN,18,12090,Vigo County School Corporation,107516,15794,3386
IN,18,12120,Vincennes Community School Corporation,22844,3257,726
IN,18,12240,Wa-Nee Community Schools,20360,4545,395
IN,18,12150,Wabash City Schools,8838,1354,287
IN,18,12180,Wabash County Schools Metropolitan School District,12642,2172,220
IN,18,6080,Warren County Metropolitan School District,7104,1184,132
IN,18,12360,Warren Township Metropolitan School District,67106,13408,2938
IN,18,12390,Warrick County School Corporation,62530,11622,847
IN,18,12420,Warsaw Community Schools,41199,7238,890
IN,18,12450,Washington Community School Corporation,18121,3291,662
IN,18,12720,Washington Township Metropolitan School District,92514,13721,2284
IN,18,5550,Wawasee Community School Corporation,20333,3342,383
IN,18,12810,Wayne Township Metropolitan School District,85267,15191,3982
IN,18,4500,Wes-Del Community Schools,5285,789,117
IN,18,9360,West Central School Corporation,4460,799,124
IN,18,9370,West Clark Community Schools,28615,5037,471
IN,18,12870,West Lafayette Community School Corporation,27475,2425,220
IN,18,12900,West Noble School Corporation,12935,2739,331
IN,18,12930,West Washington School Corporation,5633,998,169
IN,18,12990,Western Boone County Community School Corporation,10961,2038,155
IN,18,4470,Western School Corporation,12950,2492,280
IN,18,13050,Western Wayne Schools,5851,1028,166
IN,18,13080,Westfield-Washington Schools,38774,8120,350
IN,18,13110,Westview School Corporation,20030,5559,533
IN,18,8,White River Valley School District,5611,900,146
IN,18,13200,Whiting School City,4535,823,169
IN,18,13230,Whitko Community School Corporation,10745,1957,291
IN,18,2280,Whitley County Consolidated Schools,23160,3883,317
IN,18,2830,Zionsville Community Schools,28303,6651,122
