NAME,TOTALEXP,TOTAL EXP $
ADAMS CENTRAL COMMUNITY SCHOOL DISTRICT,12686,"$12,686,000.00"
ALEXANDRIA COMMUNITY SCHOOL CORPORATION,16600,"$16,600,000.00"
ANDERSON COMMUNITY SCHOOL CORPORATION,84829,"$84,829,000.00"
ARGOS COMMUNITY SCHOOLS,6342,"$6,342,000.00"
ATTICA CONSOLIDATED SCHOOL CORPORATION,7257,"$7,257,000.00"
AVON COMMUNITY SCHOOL CORPORATION,95284,"$95,284,000.00"
BARR-REEVE COMMUNITY SCHOOL INC,9250,"$9,250,000.00"
BARTHOLOMEW CONSOLIDATED SCHOOL CORPORATION,136919,"$136,919,000.00"
BATESVILLE COMMUNITY SCHOOL CORPORATION,24171,"$24,171,000.00"
BAUGO COMMUNITY SCHOOLS,20113,"$20,113,000.00"
BEECH GROVE CITY SCHOOLS,35226,"$35,226,000.00"
BENTON COMMUNITY SCHOOL CORPORATION,22761,"$22,761,000.00"
BLACKFORD COUNTY SCHOOLS,17283,"$17,283,000.00"
BLOOMFIELD SCHOOL DISTRICT,8814,"$8,814,000.00"
BLUE RIVER VALLEY SCHOOLS,6806,"$6,806,000.00"
BLUFFTON-HARRISON METROPOLITAN SCHOOL DISTRICT,17529,"$17,529,000.00"
BOONE TOWNSHIP SCHOOLS METROPOLITAN SCHOOL DISTRICT,11924,"$11,924,000.00"
BREMEN PUBLIC SCHOOLS,14529,"$14,529,000.00"
BROWN COUNTY CONSOLIDATED SCHOOL CORPORATION,28624,"$28,624,000.00"
BROWNSBURG COMMUNITY SCHOOL CORPORATION,94323,"$94,323,000.00"
BROWNSTOWN CENTRAL COMMUNITY SCHOOL CORPORATION,16725,"$16,725,000.00"
C A BEARD MEMORIAL SCHOOL CORPORATION,11939,"$11,939,000.00"
CANNELTON CITY SCHOOLS,2454,"$2,454,000.00"
CARMEL CLAY SCHOOLS,178197,"$178,197,000.00"
CARROLL CONSOLIDATED SCHOOL CORPORATION,11267,"$11,267,000.00"
CASTON SCHOOL CORPORATION,7695,"$7,695,000.00"
CENTER GROVE COMMUNITY SCHOOL CORPORATION,97148,"$97,148,000.00"
CENTERVILLE-ABINGTON COMMUNITY SCHOOLS,16666,"$16,666,000.00"
CENTRAL NOBLE COMMUNITY SCHOOL CORP,,"$14,753,515.17"
CLARK-PLEASANT COMMUNITY SCHOOL CORPORATION,67403,"$67,403,000.00"
CLARKSVILLE COMMUNITY SCHOOL CORPORATION,19388,"$19,388,000.00"
CLAY COMMUNITY SCHOOL DISTRICT,50129,"$50,129,000.00"
CLINTON CENTRAL SCHOOL CORPORATION,12569,"$12,569,000.00"
CLINTON PRAIRIE SCHOOL CORPORATION,11986,"$11,986,000.00"
CLOVERDALE COMMUNITY SCHOOLS,13752,"$13,752,000.00"
CONCORD COMMUNITY SCHOOLS,59123,"$59,123,000.00"
COVINGTON COMMUNITY SCHOOL CORPORATION,9402,"$9,402,000.00"
COWAN COMMUNITY SCHOOL CORPORATION,7634,"$7,634,000.00"
CRAWFORD COUNTY COMMUNITY SCHOOL CORPORATION,16597,"$16,597,000.00"
CRAWFORDSVILLE COMMUNITY SCHOOLS,30679,"$30,679,000.00"
CROTHERSVILLE COMMUNITY SCHOOLS,5174,"$5,174,000.00"
CROWN POINT COMMUNITY SCHOOL CORPORATION,86322,"$86,322,000.00"
CULVER COMMUNITY SCHOOL CORPORATION,10012,"$10,012,000.00"
DALEVILLE COMMUNITY SCHOOLS,9308,"$9,308,000.00"
DANVILLE COMMUNITY SCHOOL CORPORATION,26587,"$26,587,000.00"
DECATUR COUNTY COMMUNITY SCHOOLS,23429,"$23,429,000.00"
DECATUR TOWNSHIP METROPOLITAN SCHOOL DISTRICT,74610,"$74,610,000.00"
DEKALB COUNTY CENTRAL UNITED SCHOOL DISTRICT,43634,"$43,634,000.00"
DEKALB COUNTY EASTERN COMMUNITY SCHOOL DISTRICT,34690,"$34,690,000.00"
DELAWARE COMMUNITY SCHOOL CORPORATION,27107,"$27,107,000.00"
DELPHI COMMUNITY SCHOOL CORPORATION,15632,"$15,632,000.00"
DUNELAND SCHOOL CORPORATION,69982,"$69,982,000.00"
EAST ALLEN COUNTY SCHOOLS,102271,"$102,271,000.00"
EAST GIBSON SCHOOL CORPORATION,10146,"$10,146,000.00"
EAST NOBLE SCHOOL CORPORATION,39807,"$39,807,000.00"
EAST PORTER COUNTY SCHOOL CORPORATION,24895,"$24,895,000.00"
